filters,day,name,board,close,open,high,low,volume,dif,difpct,avg_senti,senticlass,target
AAX OR AIRASIA X,03-01-19,AAX,Main,0.24,0.23,0.24,0.23,8801100,0.01,0.043478261,0.448530435,Positive,Up
AAX OR AIRASIA X,04-01-19,AAX,Main,0.26,0.24,0.26,0.24,30545800,0.02,0.083333333,0.100466667,Positive,Up
AAX OR AIRASIA X,07-01-19,AAX,Main,0.305,0.26,0.31,0.26,84608800,0.045,0.173076923,0.081642857,Positive,Up
AAX OR AIRASIA X,08-01-19,AAX,Main,0.29,0.3,0.305,0.28,69337400,-0.015,-0.049180328,0.178786667,Positive,Down
AAX OR AIRASIA X,09-01-19,AAX,Main,0.29,0.29,0.3,0.285,15586200,0,0,0.1779,Positive,Unchanged
AAX OR AIRASIA X,10-01-19,AAX,Main,0.29,0.29,0.3,0.285,28305200,0,0,-0.067433333,Negative,Unchanged
AAX OR AIRASIA X,11-01-19,AAX,Main,0.29,0.295,0.295,0.28,16799600,0,0,0.5325,Positive,Unchanged
AAX OR AIRASIA X,14-01-19,AAX,Main,0.285,0.29,0.295,0.28,22089100,-0.005,-0.017241379,0.3928,Positive,Down
AAX OR AIRASIA X,15-01-19,AAX,Main,0.3,0.285,0.3,0.285,32894100,0.015,0.052631579,0.2056,Positive,Up
AAX OR AIRASIA X,16-01-19,AAX,Main,0.3,0.3,0.305,0.29,25793300,0,0,0,Neutral,Unchanged
AAX OR AIRASIA X,17-01-19,AAX,Main,0.295,0.3,0.3,0.29,11649500,-0.005,-0.016666667,0,Neutral,Down
AAX OR AIRASIA X,18-01-19,AAX,Main,0.29,0.295,0.295,0.29,5171300,-0.005,-0.016949153,0.1204,Positive,Down
AAX OR AIRASIA X,22-01-19,AAX,Main,0.29,0.29,0.31,0.28,48519200,0,0,0.100475,Positive,Unchanged
AAX OR AIRASIA X,23-01-19,AAX,Main,0.285,0.285,0.29,0.28,12168600,-0.005,-0.017241379,-0.12254,Negative,Down
